asin,title,price,rating,sales_volume,reviews_count,description,image_link
B087CBJ465,"Do You Really Know Your Family? A Fun Family Game Filled with Conversation Starters and Challenges - Great for Kids, Teens and Adults",14.59,4.6,5K+ bought in past month,14850,"Take your SCRABBLE experience to a new level This SCRABBLE Game Spells L-U-X-U-R-Y. Now you can play America's favorite word game in style. Gather your friends and family around this handsome wood game cabinet, draw your seven faux-ivory SCRABBLE letter tiles and spin the built-in rotating game board. This exquisite set offers all of the fun and challenge of classic SCRABBLE, with added luxurious features including a gold-toned raised grid to hold the letter tiles in place, foil-stamped scorepad and pencil, tile racks and timer with diecast end caps, and a drawer to store and organize these wonderful components. This extraordinary SCRABBLE set is designed for those looking to enjoy the truly finer things in life. Contents The game equipment consists of a 2-tone wood cabinet with gold-tone metal accents, an integrated storage drawer and rotation feature. Includes 100 deluxe faux-ivory SCRABBLE letter tiles, 4 deluxe wood tile racks with gold-tone metal end caps, sand timer with gold-tone metal end caps, embossed faux-leather SCRABBLE letter tile pouch, gold foil-stamped scorebook with matching pencil, and instructions. Weights and Measures Game Cabinet Measures 17.5 x 16.5 x 3.5 inches and weighs 9.4 pounds with all game components stored inside. SCRABBLE letter tiles measure 0.8125 x 0.75 inches. Letter tile racks are 7.25 inches long. Design and Production Designed by WS Game Company in the Commonwealth of Massachusetts, USA. Produced in China. This adult collectible game is appropriate for 2 to 4 Players.",https://m.media-amazon.com/images/I/71HhBMdgrLL._AC_SL1200_.jpg
B06Y1N3PTX,Hasbro Gaming Battleship with Planes Strategy Board Game for Ages 7 and Up (Amazon Exclusive),16.99,4.7,2K+ bought in past month,20971,"['https://m.media-amazon.com/images/S/aplus-media-library-service-media/2cf8dec6-9e5d-4009-b912-bb1070a558d0.__CR0,0,3050,1302_PT0_SX1464_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/1deb4ef7-3bde-4d5a-923c-fe247925cd4a.__CR0,0,1509,1888_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/3691a6a1-fc63-4c9d-9286-b584c53a88cd.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/7fc2d065-f373-4db0-9540-c931b5a78458.__CR0,0,1509,1888_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/8d0c883e-80d1-4836-b740-d5c7f5f651c9.__CR0,0,1509,1888_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/aa388c4d-0e65-4560-9d59-71c55f609aab.__CR28,31,622,682_PT0_SX166_V1___.png', 'https://m.media-amazon.com/images/I/51Eb8SrC3eL.__AC_SR166,182___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/9010295f-3da6-4c05-b36d-66c0426a13a0.__CR761,0,684,750_PT0_SX166_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/98d2ca0f-08ff-4a5a-9ecf-18d7fc85f1f4.__CR137,0,2850,3125_PT0_SX166_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/62bfbd21-e178-455a-aa74-faad5440f92d.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/6c82a999-413a-41bf-a963-f3ce339f2db7.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/5102742a-67b1-4846-a709-8f35fcaebe86.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/14ed34ea-de21-4c34-9e47-07b72ff92d27.__CR0,0,2911,900_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/fd94d0d8-8f2a-41f1-97a2-a9568329d1f2.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/9cedcad7-f316-4956-af51-f7179a9b5f80.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/7cb33941-1dec-49e0-b822-6e7e86e61ed2.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/163c90fd-8b2f-4de3-af4e-d351b71c1c0e.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/88f72dbf-408c-4b38-b1fc-7b444407c960.__CR0,0,2911,900_PT0_SX970_V1___.jpg']",https://m.media-amazon.com/images/I/81yc8EwVeLL._AC_SL1500_.jpg
B000J58Z12,WS Game Company Scrabble Trophy Luxury Edition with Rotating Wooden Game Board,209.99,4.6,50+ bought in past month,320,"This exclusive edition of the Battleship game includes 2 planes in addition to ships, for exciting aircraft combat. In head to head battle, players search for the enemy’s fleet of ships and aircraft, and destroy them one by one. With convenient portable battle cases and realistic looking naval crafts and planes, the Battleship game puts players right in the middle of the action. Each player announces the coordinates of each strike, and then hopes that it hits. Position ships strategically to survive opponent's relentless strikes, and track hits and misses with red and white pegs on the ocean grid. No ship or aircraft is safe in this game of stealth and suspense. Hasbro gaming and all related terms are a trademark of Hasbro.",https://m.media-amazon.com/images/I/81MGBeg7uHL._AC_SL1500_.jpg
B093HBBMPT,Big Potato Herd Mentality: Udderly Hilarious Board Game for Group Fun | Easy Setup & Play | The Perfect Party Game for 4-20 Players | Includes 20 Extra Exclusive Question Cards,19.99,4.7,3K+ bought in past month,5117,"It's grid-spinning, game-changing fun in this strategy board game of weights and balances! Players choose where to put their disc into the grid, and then spin the column to line them up. They need to get 4 in a row--horizontally, vertically, or diagonally --to win. But they also need to keep an eye out for their opponent's disc placement before spinning or they might throw them a victory. Each set of discs includes a weighted disc that can change the game in an instant. With 2 game modes, Beginner and Expert, the Connect 4 Spin game is a great choice for a family game night and play dates for kids ages 8 and up. This 2-player game is a fun family and kids gift. Hasbro Gaming and all related trademarks and logos are trademarks of Hasbro, Inc.",https://m.media-amazon.com/images/I/61bvvNpzQvL._AC_SL1500_.jpg
B0CS7VH7HM,Monopoly Harry Potter Edition Board Game | A Magical Adventure at Hogwarts | Ages 8 and Up | 2 to 6 Players | Family Games | Gifts for Kids and Adults,23.49,4.8,2K+ bought in past month,1598,"Ready for a magical year at Hogwarts? In the Monopoly HARRY POTTER Edition game, play as a Hogwarts student. To start, each player chooses a themed golden token. Then they’ll choose a House Card to be sorted into a house. In this edition, Hogwarts locations are properties and house points replace Monopoly money. Move around the board and use house points to explore iconic locations in Hogwarts castle and Hogsmeade Village. The more a player explores, the more house points they can collect from other players. Collect a color set to add house crests, and draw Owl Post cards for game-changing news. The game ends when all locations have been explored, and the player with the most house points wins! This strategy board game is a fun game for family time, and it’s a great gift for kids ages 8 and up, teens, and adults who are fans of HARRY POTTER. All characters and elements are copyright and trademark Warner Bros. Entertainment Inc. WB SHIELD: Copyright and trademark WBEI. Publishing Rights copyright JKR. The Hasbro and Monopoly names and logos, the distinctive design of the gameboard, the four corner squares, the Mr. Monopoly name and character, as well as each of the distinctive elements of the board and playing pieces are trademarks of Hasbro, Inc. for its property trading game and game equipment.",https://m.media-amazon.com/images/I/81QCZPum-9L._AC_SL1500_.jpg
B0CHDNC8ZJ,Ravensburger Horrified Games - Greek Monsters - Strategy Board Game - Boost Critical Thinking & Teamwork - Cooperative Gameplay - Unique Monster Challenges - 1 to 5 Players - Adults & Kids 10+,18.89,4.8,500+ bought in past month,357,"It’s the game of unspeakable fun! In the Taboo game, get your team to say the Guess word without saying any of the Taboo words! Who can get teammates to say ""Fame"" without being able to say Celebrity, Superstar, Musical, Known, or Fortune? This classic Taboo board game features 212 cards with 848 relatable guess words from pop culture, trends, and more. Players try to give creative and carefully worded clues to help team members guess words fast as they race against the timer. Just don't mention unmentionables, or it's time for the squeaker and you lose that point. The Taboo card game for adults and teens ages 13 and up is an exciting pick for family game nights. It also makes a great group game for game nights with friends. You can even just take the card box and use the online tools to play the Taboo word game almost anywhere! Hasbro Gaming and all related terms are trademarks of Hasbro. © 2023 Hersch and Company. Taboo is a trademark of Hersch and Company, Los Angeles, CA. HASBRO and all related trademarks and logos are trademarks of Hasbro, Inc. © 2023 Hasbro. TM & ® denote U.S. Trademarks.",https://m.media-amazon.com/images/I/91DdVPQaqbL._AC_SL1500_.jpg
B08PW35JDP,"Spin Master Games, Cardinal Classics Double Nine Dominoes Set in Storage Tin, Dominoes for Kids & Adults, Classic Game, 2-6 Players, for Ages 8 & Up",12.96,4.6,4K+ bought in past month,18402,"Who knew yetis liked spaghetti?!? We did! In this wacky, fun game, the noodles are laid across the bowl and Yeti is just sitting there on the noodles. But as you remove the noodles one by one (be careful!), Yeti could fall into the bowl, and that would mean you lose! For 2 or more players, ages 4 and up.",https://m.media-amazon.com/images/I/81iuobfdn+L._AC_SL1500_.jpg
B0B3FXMB7Q,"Hasbro Gaming Taboo Classic Game, Party Word Guessing Game for Adults and Teens, Board Game for 4+ Players Ages 13 and Up",15.59,4.8,2K+ bought in past month,1349,"Product Description Round and round she goes. Hi Ho! Cherry-O is the counting game in which players race to be the first to have 10 cherries in their basket. A spin of the arrow determines your fate. It will instruct you to pick one, two, three, or four cherries from your tree and put 'em in your basket. That is, of course, if you don't land on the bird or the dog, requiring you to take two cherries from your basket and return them to the tree. And try not to land on the spilled bucket or--you guessed it--spill the contents of your basket or you start over. Amazon.com Round and round she goes. Hi Ho! Cherry-O is the counting game in which players race to be the first to have 10 cherries in their basket. A spin of the arrow determines your fate. It will instruct you to pick one, two, three, or four cherries from your tree and put 'em in your basket. That is, of course, if you don't land on the bird or the dog, requiring you to take two cherries from your basket and return them to the tree. And try not to land on the spilled bucket or--you guessed it--spill the contents of your basket or you start over. --Alison Golder P.when('A').execute(function(A) { A.on('a:expander:toggle_description:toggle:collapse', function(data) { window.scroll(0, data.expander.$expander[0].offsetTop-100); }); }); From the Manufacturer Round and round she goes. Hi Ho! Cherry-O is the counting game in which players race to be the first to have 10 cherries in their basket. A spin of the arrow determines your fate. It will instruct you to pick one, two, three, or four cherries from your tree and put 'em in your basket. That is, of course, if you don't land on the bird or the dog, requiring you to take two cherries from your basket and return them to the tree. And try not to land on the spilled bucket or--you guessed it--spill the contents of your basket or you start over. See more",https://m.media-amazon.com/images/I/81MBgtB-Y8L._AC_SL1500_.jpg
B00UPAYY5C,"Yeti in My Spaghetti Board Game – Kids Games, Family Game, Multi-Player, Board Games for Family Night, Preschool Toys, Hand-Eye-Coordination Game, Don’t Drop Yeti, Ages 4+",9.89,4.7,2K+ bought in past month,15484,"As a wealthy Renaissance merchant, acquire mines and transportation, hire artisans and woo the nobility. Create the most fantastic jewelry to become the best-known merchant of them all! Acquire precious stones to trade them for development cards. Use development cards to acquire more gem stones. Use your gems and gold to create the most fantastic jewelry, and appeal to the nobles to gain the prestige you need to win. Splendor is made by Space Cowboys and sold by Asmodee.",https://m.media-amazon.com/images/I/814OO94zSoL._AC_SL1500_.jpg
B00000IWGQ,Hasbro Gaming Hi Ho Cherry-O Board Game for 2 to 4 Players Kids Ages 3 and Up (Amazon Exclusive),11.99,4.8,3K+ bought in past month,11119,"Dare to enter the underworld of Ravensburger Horrified - Greek Monsters, a cooperative strategy board game for kids and adults, where you and your friends must protect Elysium from 6 of the most terrifying creatures ever imagined Face the unique challenges of Medusa, Cerberus, Minotaur, Chimera, Siren, and Basilisk - all who have escaped from Pandora's Box. Work together to save the Isle of Elysium from a tragic end. Perfect for birthday and holiday gifts, parties, family game nights or gatherings with friends, Horrified - Greek Monsters offers thrilling gameplay for 1-5 players and lasts approximately 60 minutes. The game is easy to learn with clear and concise instructions, allowing both seasoned strategists and newcomers to jump right into the action. Inside the box you'll find everything you need for an immersive gaming experience: a sinister and boldly illustrated game board, 6 intricately sculpted miniatures representing the iconic, mythical monsters, game cards, dice, a handy fabric bag, paper movers, and more. Each monster requires a different strategy, making every game a fresh and exciting experience. A must-have for boys and girls ages 10-12, 11-13, 14-15 and older who cherish challenging board games. Gather your friends, embrace your inner hero, develop your strategies, and prepare for an unforgettable battle against the legendary Ravensburger Horrified - Greek Monsters. Can you save Elysium before it's too late?.",https://m.media-amazon.com/images/I/81SYOPMR9ZL._AC_SL1500_.jpg
B00IZEUFIA,"Splendor Board Game (Packaging May Vary) - Master The Art of Wealth and Prestige! - Engaging Gem Mining Strategy Game for Kids & Adults, Ages 10+, 2-4 Players, 30 Min Playtime, Made by Space Cowboys",31.99,4.9,2K+ bought in past month,14192,"Bring some old-fashioned family fun to game night with this high-quality dominoes set. Double-Nine Dominoes is perfect for beginners and experts. The starter piece enhances gameplay while the bright colored dots make gameplay easier. This Double Nine Dominoes set includes 55 durable, color dot, ivory-colored dominos that stack neatly into a durable storage tin and a starter piece. Learn to play different variations with the included instructions.",https://m.media-amazon.com/images/I/71nIT6MoBvL._AC_SL1415_.jpg
B085JYYWJV,"Here To Slay Base Game - Adventure RPG Dice Rolling Card Game For Teens, Adults - 2-6 Players, Hand Management",20,4.8,1K+ bought in past month,9169,"A strategic card game. A role-playing adventure. A dangerous new world. Here To Slay is a fast-paced, easy to learn game that is perfect for all skill levels, whether you’re just entering the world of role-playing games or honing your masterful skills. The game was one of Kickstarter’s top 50 most backed projects of all time and is one of Pop Insider’s best geeky gifts of 2020!",https://m.media-amazon.com/images/I/51TNj6A53SL._AC_SL1000_.jpg
B077MZ2MPW,"Board Game - Strategic Tile-Placement Game for Family Fun, Great Game for Kids and Adults, Ages 8+, 2-4 Players, 30-45 Minute Playtime, Made by Plan B Games",34.97,4.8,3K+ bought in past month,15752,"The roar of powerful engines bursts from the dark mouth of the Pyrenean tunnel just moments before gleaming cars streak past. One mistake could mean certain destruction, but the lure of the Spanish Grand Prix keeps the drivers focused and aggressive. Heat: Tunnel Vision introduces two new racing tracks. The Spanish Grand Prix takes your car through treacherous tunnels, forcing you to trust your instincts in the semi-dark. The Netherlands track allows you to open your engine to full throttle before throwing you into a succession of treacherous corners. Take part in the 1965 Championship season and install the new Front Wing upgrade to draft off the other drivers and charge to victory. This second expansion brings chicanes and tunnels for more technical and high-intensity races, front wing upgrade cards, and new event cards, in addition to expanding the player count to seven (or eight with the Heavy Rain expansion).",https://m.media-amazon.com/images/I/91A0nIsV57S._AC_SL1500_.jpg
B0DCM3M1T7,"Heat: Tunnel Vision Board Game Expansion - New Tracks, Championship Season & Front Wing Module! Racing Strategy Game for Kids & Adults, Ages 10+, 1-7 Players, 60 Min Playtime, Made by Days of Wonder",34.99,4.2,600+ bought in past month,14,"Join everyone’s favorite character in this exciting spin on a classic TOMY kid’s game: Pop Up Super Mario! With 3 ways to play, there’s fun for everyone. In Classic Play, each player takes turns sliding paddles into the pipe. When the correct slot is picked…POP! Mario will bounce out of the pipe and that player wins! Any slot could make him pop up – it’s different each time! In Coin Collection, players decide how many rounds to play. Paddles are then mixed up and placed coin side down. Each player chooses a new paddle each turn. The player that helps Mario pop out gets the number of coins on that paddle added to their score. Whoever has the most coins at the end of the final round wins! Pop-Up Mario lets you choose your favorite way to play in Classic or Coin Collection Mode. Play as Team Luigi or Team Bowser and compete to help Mario pop out of the pipe and win the round! Mario fans both young and old will love this exciting action game! Contains 1 Mario figure, 1 pipe, 24 paddles, and instructions. Suitable for 2-4 players, ages 4 years+.",https://m.media-amazon.com/images/I/817SpRDG2vL._AC_SL1500_.jpg
B083S1R2Z1,Plunder - Family Board Games - Board Games for Adults and Kids - Strategy Board Games - Fun Family Game Night - Ages 10 and Up - 2 to 6 Players,49.99,4.8,1K+ bought in past month,2667,"['https://m.media-amazon.com/images/S/aplus-media-library-service-media/60627316-2f66-4f4b-9569-1f2a31d6586d.__CR0,0,1940,600_PT0_SX970_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/101f5d59-ff2e-4d11-a8e8-52e0421c919a.__CR0,0,1940,1200_PT0_SX970_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/cc01c5b2-f111-4412-98ef-018e8d6f97a4.__CR0,0,1940,1200_PT0_SX970_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/7fd92a41-29f8-4847-806b-cddc6ffdd6ed.__CR0,0,1940,600_PT0_SX970_V1___.png']",https://m.media-amazon.com/images/I/71KnAT1F6wL._AC_SL1500_.jpg
B0CSYGN445,"Spin Master Games, Jumanji Stampede, 3D Adventure Cooperative Board Game, for Fans of The Jumanji Movies, Face Off Against Jungle Emergencies, 2-4 Players, for Ages 8 & Up",38.99,4.6,50+ bought in past month,4883,"Search and survive as the island comes alive. In this cooperative 2-4 player adventure game for the whole family, search the island for 5 magical crystals stolen by evil villain Draven. But watch out. There are 6 unique dangers that are waiting to attack you. Good luck, brave adventurers. Build the sprawling 3D interactive board, then take on challenges, dangers, and objectives from the cards together to collect the crystals. Spin Master brings the fun home by offering a range of games for adults, card games for adults, adult games, kids toys & games including baby toys, toys for girls, and board games. Collect your favorite stuffed animals, fidget toys, RC cars, action figures, dolls & accessories + more. From special gifts for men to baby & toddler toys for kids at heart, make your birthday gifts a breeze by shopping our diverse catalog selection. Still hungry for more, explore kids games, pool toys, outdoor games, and monster trucks for any time of the year. Get creative with arts and crafts, building toys and RC cars and take the action to the table with jigsaw puzzles for adults or card games.",https://m.media-amazon.com/images/I/91Qcz9bIQpL._AC_SL1500_.jpg
